"SubIn","Goals","Assists","AverageGoalspermatch","AverageAssistspermatch","Yellow","Red","SpG","AW","Tackle","Int","Fouls","OffWon","Clr","WasDribbled","BlkShots","OG","KeyPasses","Dribbles","Fouled","Offs","Disp","Trn","Avg.Passes","PassSuc%","Crosses","LB","TB","Ballond'OrNominee"
3,6,6,"0.230769231","0.230769231",4,0,"1.469230769","1.638461538","0.769230769","0.246153846","1.484615385",0,"0.415384615","0.146153846","0.046153846",0,"1.015384615","0.261538462","1.823076923","0.853846154","2.715384615","1.915384615","18.94615385","71.53076923",0,"0.476923077","0.369230769","No"
7,7,4,"0.2","0.114285714",5,0,"2.7","0.9","2.3","2.9","1.1",0,"0.2","0.7",0,0,"1.2","0.9","0.9","0.4","1.4","0.9","26.5",73,"0.9","0.9","0.1","No"
5,13,5,"0.40625","0.15625",1,0,"2.15","2.04375","1.03125","0.284375","1.496875",0,"0.421875","0.315625","0.084375",0,"1.190625","1.496875","1.328125","0.746875","1.75","1.590625","25.103125",76725,"0.084375","1.128125","0.253125","No"
10,4,7,"0.121212121","0.212121212",0,1,"1.309090909","0.115151515","1.006060606","0.715151515","0.36969697",0,"0.084848485","0.284848485",0,0,"1.315151515","1.43030303","0.745454545","0.260606061","1.83030303","1.818181818","21.81818182","84.54848485","0.084848485",0,"0.115151515","No"
13,0,2,0,"0.0625",7,0,1,"0.8","3.6","1.3","2.3",0,"1.4","1.1","0.1",0,"0.6","0.9","2.2","0.1","1.4","0.8",26,"79.1","0.3","1.7","0.1","No"
12,2,0,"0.166666667",0,0,0,"0.416666667","0.083333333","0.416666667","0.5","0.833333333",0,"0.166666667","0.5",0,0,"0.25","0.75","0.416666667","0.166666667","0.666666667","0.666666667","6.833333333","74.25","0.083333333",0,0,"No"
1,3,1,"0.09375","0.03125",5,0,"0.5","0.5","2.5","1.7",2,"0.1","1.2","2.3","0.3",0,"0.7","0.8","1.4","0.1","1.1","0.5","37.1","81.9","0.1","2.3","0.1","No"
24,8,3,"0.235294118","0.088235294",2,1,"1.382352941","0.629411765","1.052941176","0.747058824","0.623529412",0,"0.382352941","0.335294118","0.088235294",0,"0.535294118","0.8","0.5","0.247058824","0.641176471","0.670588235","18.28823529","83.61764706","0.282352941","1.052941176",0,"No"
1,0,0,0,0,5,0,"0.6","0.8","3.3","4.6","1.6","0.1","0.7","1.9","0.2",0,"0.1","0.3","2.6",0,"0.8","0.3",40,"74.4",0,"5.1","0.1","No"
7,12,7,"0.342857143","0.2",2,0,"2.3","0.4",1,"1.4","1.2",0,"0.1","0.1",0,0,"1.2","0.8","2.1","0.7","1.7","1.3","24.3","79.7","0.7","0.9","0.1","No"
1,4,3,"0.117647059","0.088235294",9,0,"1.623529412","0.741176471","3.358823529","3.058823529","1.382352941","0.088235294",2,"1.329411765","0.176470588",0,"1.3","1.182352941","1.117647059",0,"1.617647059","1.147058824","62.82941176","81.58823529","0.705882353","6.035294118","0.323529412","No"
14,2,0,"0.083333333",0,4,0,1,1,"0.3","0.2","1.1",0,"0.4","0.1",0,0,"0.4","0.2","1.3","0.8","1.3",1,"11.4","77.4",0,"0.1",0,"No"
